[Script Info]
; Script generated by Aegisub 3.4.2
; http://www.aegisub.org/
ScriptType: v4.00+
PlayResX: 1440
PlayResY: 1080
WrapStyle: 2
YCbCr Matrix: TV.709

[Aegisub Project Garbage]
Audio File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 72
Active Line: 2
Video Position: 1449

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,sans-serif,72,&H00FFFFFF,&H00FFFFFF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,4,0,8,2,15,15,20,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:06:34.56,9:59:59.99,Default,,0,0,0,,はぁ…｡
Dialogue: 0,0:06:36.56,9:59:59.99,Default,,0,0,0,,守りの魔術は
Dialogue: 0,0:06:36.56,9:59:59.99,Default,,0,0,0,,問題なく発動しているな｡
Dialogue: 0,0:06:40.40,9:59:59.99,Default,,0,0,0,,守りの魔術？
Dialogue: 0,0:06:40.40,9:59:59.99,Default,,0,0,0,,ああ｡
Dialogue: 0,0:06:43.24,0:06:47.24,Default,,0,0,0,,小神殿の魔石に
Dialogue: 0,0:06:43.24,0:06:47.24,Default,,0,0,0,,魔力をこめたであろう？
Dialogue: 0,0:06:50.24,9:59:59.99,Default,,0,0,0,,あの時の…｡
Dialogue: 0,0:06:52.25,9:59:59.99,Default,,0,0,0,,守りの魔術は➡
Dialogue: 0,0:06:54.25,9:59:59.99,Default,,0,0,0,,君が襲撃された時に
Dialogue: 0,0:06:54.25,9:59:59.99,Default,,0,0,0,,使ったものと同じだ｡
Dialogue: 0,0:06:57.58,9:59:59.99,Default,,0,0,0,,風の盾！
Dialogue: 0,0:06:59.75,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:盾の中の人に対して➡
Dialogue: 0,0:07:02.09,9:59:59.99,Default,,0,0,0,,害意を持つものは入れない》
Dialogue: 0,0:07:04.42,9:59:59.99,Default,,0,0,0,,｟一同:うお…｠
Dialogue: 0,0:07:06.43,9:59:59.99,Default,,0,0,0,,それなら安心ですね｡
Dialogue: 0,0:07:08.43,9:59:59.99,Default,,0,0,0,,今のうちに ノｰラ達の無事を
Dialogue: 0,0:07:08.43,9:59:59.99,Default,,0,0,0,,確認しに行きましょう｡
Dialogue: 0,0:07:12.77,9:59:59.99,Default,,0,0,0,,今は ダメだ｡
Dialogue: 0,0:07:14.77,9:59:59.99,Default,,0,0,0,,下手に動くと
Dialogue: 0,0:07:14.77,9:59:59.99,Default,,0,0,0,,ヴォルフの時のように➡
Dialogue: 0,0:07:16.77,0:07:19.27,Default,,0,0,0,,町長が消される｡
Dialogue: 0,0:07:21.44,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:私の知らないところで➡
